[ 2018-03-21 15:32:55 / linux        /   3101 /    101 ]: verification for packssdw_xmm_xmm: unknown
[ 2018-03-21 15:33:05 / linux        /   3101 /     60 ]: verification for vpackssdw_xmm_xmm_xmm: unknown
[ 2018-03-21 15:33:55 / linux        /   3101 /    101 ]: verification for packssdw_xmm_xmm: unknown
[ 2018-03-21 15:34:06 / linux        /   3101 /     60 ]: verification for vpackssdw_xmm_xmm_xmm: unknown
[ 2018-03-21 15:34:55 / linux        /   3101 /    101 ]: verification for packssdw_xmm_xmm: unknown
[ 2018-03-21 15:34:55 / linux        /   3101 /    101 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: SMT solver returned unknown while testing against 3 equivalence classes'
[ 2018-03-21 15:35:06 / linux        /   3101 /     60 ]: verification for vpackssdw_xmm_xmm_xmm: unknown
[ 2018-03-21 15:35:06 / linux        /   3101 /     60 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: SMT solver returned unknown while testing against 3 equivalence classes'
[ 2018-03-21 15:35:45 / linux        /   3101 /     61 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:36:45 / linux        /   3101 /     61 ]: verification for vpackssdw_xmm_xmm_xmm: unknown
[ 2018-03-21 15:37:32 / linux        /   3101 /     61 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:37:32 / linux        /   3101 /     61 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:39:34 / linux        /   3101 /    126 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:40:13 / linux        /   3101 /    126 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:40:13 / linux        /   3101 /    126 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:43:57 / linux        /   3101 /     79 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:44:36 / linux        /   3101 /     79 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:44:36 / linux        /   3101 /     79 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:45:13 / linux        /   3101 /    101 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:45:31 / linux        /   3101 /     84 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:45:55 / linux        /   3101 /    101 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:45:55 / linux        /   3101 /    101 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:46:12 / linux        /   3101 /     84 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:46:12 / linux        /   3101 /     84 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:46:24 / linux        /   3101 /     60 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:47:02 / linux        /   3101 /     60 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:47:02 / linux        /   3101 /     60 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:48:17 / linux        /   3101 /     61 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:49:00 / linux        /   3101 /     61 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:49:00 / linux        /   3101 /     61 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:50:29 / linux        /   3101 /     79 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:51:10 / linux        /   3101 /     79 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:51:10 / linux        /   3101 /     79 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:51:39 / linux        /   3101 /    101 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:52:21 / linux        /   3101 /    101 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:52:21 / linux        /   3101 /    101 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:53:01 / linux        /   3101 /     84 ]: verification for packssdw_xmm_xmm: verified
[ 2018-03-21 15:53:41 / linux        /   3101 /     84 ]: verification for packssdw_xmm_xmm: verified
equivalence class size and score for packssdw_xmm_xmm: 3 / (0, 0, 92), 3 / (0, 0, 92), 3 / (0, 0, 92), 6 / (0, 0, 92)
[ 2018-03-21 15:53:41 / linux        /   3101 /     84 ]: task end: 'secondary search for packssdw_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:54:03 / linux        /   3101 /    126 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:54:39 / linux        /   3101 /    126 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:54:39 / linux        /   3101 /    126 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:54:48 / linux        /   3101 /     60 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:55:23 / linux        /   3101 /     60 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:55:23 / linux        /   3101 /     60 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:57:32 / linux        /   3101 /     61 ]: verification for vpackssdw_xmm_xmm_xmm: verified
[ 2018-03-21 15:58:08 / linux        /   3101 /     61 ]: verification for vpackssdw_xmm_xmm_xmm: verified
equivalence class size and score for vpackssdw_xmm_xmm_xmm: 11 / (0, 0, 91), 1 / (0, 0, 105), 1 / (0, 0, 105), 2 / (0, 0, 105)
[ 2018-03-21 15:58:08 / linux        /   3101 /     61 ]: task end: 'secondary search for vpackssdw_xmm_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 15:59:18 / linux        /   6293 /     51 ]: entry point: strata cleanup
[ 2018-03-21 15:59:26 / linux        /   6475 /     52 ]: entry point: strata continue
[ 2018-03-21 15:59:46 / linux        /   6475 /     59 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 15:59:46 / linux        /   6475 /     59 ]: task end: 'initial search for vptest_xmm_xmm with budget=369290' with result 'Initial search success'
[ 2018-03-21 15:59:52 / linux        /   6475 /     60 ]: verification for ptest_xmm_xmm: verified
[ 2018-03-21 15:59:52 / linux        /   6475 /     60 ]: task end: 'initial search for ptest_xmm_xmm with budget=200387' with result 'Initial search success'
[ 2018-03-21 16:00:25 / linux        /   6475 /     91 ]: verification for ptest_xmm_xmm: verified
[ 2018-03-21 16:00:30 / linux        /   6475 /     91 ]: verification for ptest_xmm_xmm: verified
equivalence class size and score for ptest_xmm_xmm: 2 / (0, 0, 25)
[ 2018-03-21 16:00:30 / linux        /   6475 /     91 ]: task end: 'secondary search for ptest_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 16:00:35 / linux        /   6475 /     78 ]: verification for vptest_xmm_xmm: verified
